Series_Title,Released_Year,Genre,IMDB_Rating,language
Circle,2015,"Science Fiction, Mystery, Drama, Thriller, Horror",6.015,en
Borderlands,2024,"Action, Science Fiction, Comedy",5.662,en
Power Rangers,2017,"Action, Adventure, Science Fiction",6.258,en
Pride & Prejudice,2005,"Drama, Romance",8.1,en
Scream,1996,"Crime, Horror, Mystery",7.414,en
The Family Plan,2023,"Action, Comedy, Family",7.274,en
No Hard Feelings,2023,"Comedy, Romance",6.733,en
Rush Hour,1998,"Action, Comedy, Crime",7.047,en
The Nun,2018,Horror,5.9,en
The Mummy,2017,"Fantasy, Thriller, Action, Adventure, Horror",5.517,en
Storks,2016,"Adventure, Animation, Comedy, Family",6.666,en
Man of Steel,2013,"Action, Adventure, Science Fiction",6.633,en
Bone Tomahawk,2015,"Western, Horror, Drama",6.867,en
Raiders of the Lost Ark,1981,"Adventure, Action",7.924,en
Predators,2010,"Science Fiction, Action, Thriller",6.278,en
Everything Everywhere All at Once,2022,"Action, Adventure, Science Fiction",7.757,en
The Disaster Artist,2017,"Comedy, Drama",7.107,en
Mad Max: Fury Road,2015,"Action, Adventure, Science Fiction",7.623,en
Bullet Train,2022,"Action, Comedy, Thriller",7.435,en
Ready or Not,2019,"Horror, Comedy",7.034,en
Black Panther: Wakanda Forever,2022,"Action, Adventure, Science Fiction",7.058,en
Less Than Zero,1987,"Drama, Crime, Romance",6.4,en
Mission: Impossible III,2006,"Adventure, Action, Thriller",6.748,en
The Hunger Games: Mockingjay - Part 1,2014,"Science Fiction, Adventure, Thriller",6.816,en
GoodFellas,1990,"Drama, Crime",8.454,en
The Girl Next Door,2004,"Comedy, Romance",6.726,en
Schindler's List,1993,"Drama, History, War",8.564,en
Sugar Baby,2024,"Thriller, Comedy",6.038,en
Lucy,2014,"Action, Science Fiction",6.464,en
The Crow,2024,"Action, Fantasy, Horror",5.848,en
Brooklyn,2015,"Romance, Drama, History",7.314,en
Batman Begins,2005,"Action, Crime, Drama",7.714,en
Encanto,2021,"Animation, Comedy, Family, Fantasy",7.592,en
Corpse Bride,2005,"Romance, Fantasy, Animation",7.58,en
A Quiet Place: Day One,2024,"Horror, Science Fiction, Thriller",6.719,en
Now You See Me,2013,"Thriller, Crime",7.334,en
The Twilight Saga: Breaking Dawn - Part 1,2011,"Adventure, Fantasy, Romance",6.196,en
Mission: Impossible II,2000,"Adventure, Action, Thriller",6.129,en
The Voyeurs,2021,Thriller,6.55,en
Wonka,2023,"Comedy, Family, Fantasy",7.079,en
Scooby-Doo! The Mystery Begins,2009,"Mystery, Comedy, Fantasy",6.4,en
Grown Ups 2,2013,Comedy,6.141,en
Star Trek: The Motion Picture,1979,"Science Fiction, Adventure, Mystery",6.477,en
Saving Private Ryan,1998,"Drama, History, War",8.219,en
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Adventure, Action, Fantasy",6.653,en
It Comes at Night,2017,"Drama, Horror, Mystery",5.861,en
The Twilight Saga: Breaking Dawn - Part 2,2012,"Adventure, Fantasy, Drama, Romance",6.463,en
M3GAN,2022,"Science Fiction, Horror",7,en
2012,2009,"Action, Adventure, Science Fiction",5.854,en
A Bronx Tale,1993,"Drama, Crime",7.875,en
Captain Fantastic,2016,"Adventure, Drama",7.895,en
Past Lives,2023,"Drama, Romance",7.745,en
The Nun II,2023,Horror,6.711,en
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy, Action",7.358,en
Subservience,2024,"Horror, Science Fiction, Thriller",6.707,en
Winter Spring Summer or Fall,2024,"Romance, Comedy, Drama",7.268,en
Killers of the Flower Moon,2023,"Crime, History, Drama",7.426,en
The Devil Wears Prada,2006,"Drama, Comedy",7.393,en
The Martian,2015,"Drama, Adventure, Science Fiction",7.689,en
Azrael,2024,"Action, Horror, Thriller",6.002,en
Kingsman: The Secret Service,2015,"Crime, Comedy, Action, Adventure",7.626,en
The Predator,2018,"Science Fiction, Action, Thriller",5.629,en
The Truth About Spring,1965,"Adventure, Comedy, Drama",6.962,en
Mean Girls,2004,"Drama, Comedy",7.219,en
Palmer,2021,Drama,8.132,en
The Incredibles,2004,"Action, Adventure, Animation, Family",7.712,en
Sonic the Hedgehog,2020,"Action, Science Fiction, Comedy, Family",7.307,en
Meg 2: The Trench,2023,"Action, Science Fiction, Horror",6.432,en
Good Will Hunting,1997,Drama,8.157,en
IF,2024,"Comedy, Fantasy, Family",7.052,en
Paddington in Peru,2024,"Family, Comedy, Adventure",6.9,en
Troy,2004,"War, Action, History",7.164,en
Mulan,1998,"Animation, Family, Adventure",7.906,en
Black Hawk Down,2001,"Action, War, History",7.387,en
